cancer_type,gender,age_at_diagnosis,n,n_predicted
Oropharynx,M,81,3,3.5543284375044166
Oropharynx,M,82,1,3.1451120267055677
Oropharynx,M,83,4,2.736200399703557
Oropharynx,M,84,2,2.3273362605318484
Penis,M,10,0,-0.11136881220010379
Penis,M,11,0,-0.10785985108108563
Penis,M,12,0,-0.10419251566570012
Penis,M,13,0,-0.1001079328476821
Penis,M,14,0,-0.09518524924566886
Penis,M,15,0,-0.08893147777537282
Penis,M,16,0,-0.08070468880148435
Penis,M,17,0,-0.06976913720713068
Penis,M,18,0,-0.05526569890727515
Penis,M,19,0,-0.03628546162635163
Penis,M,20,0,-0.011831230168830217
Penis,M,21,0,0.019134825126893382
Penis,M,22,0,0.05765260150969363
Penis,M,23,0,0.10475676769501463
Penis,M,24,1,0.161394520756309
Penis,M,25,1,0.2285210900131309
Penis,M,26,0,0.3081863516624934
Penis,M,27,0,0.4027757842919445
Penis,M,28,0,0.5147620894777665
Penis,M,29,0,0.6461094475112034
Penis,M,30,1,0.7979332400468037
Penis,M,31,1,0.9710816187782639
Penis,M,32,0,1.1662235960279166
Penis,M,33,0,1.3840247180165923
Penis,M,34,1,1.6234695507434929
Penis,M,35,4,1.882719870903484
Penis,M,36,4,2.1591309867227797
Penis,M,37,0,2.452357649894252
Penis,M,38,1,2.762653190254271
Penis,M,39,6,3.0895387260722385
Penis,M,40,0,3.4303500681363146
Penis,M,41,5,3.783843683085979
Penis,M,42,4,4.147259995617493
Penis,M,43,7,4.517424218239437
Penis,M,44,5,4.892254776060297
Penis,M,45,3,5.271769095287628
Penis,M,46,5,5.655339095052077
Penis,M,47,5,6.04153020935429
Penis,M,48,7,6.426889289153209
Penis,M,49,6,6.807436470025602
Penis,M,50,14,7.179049794635831
Penis,M,51,5,7.5386168661577715
Penis,M,52,5,7.888138160610013
Penis,M,53,9,8.227294607670155
Penis,M,54,10,8.554611142176716
Penis,M,55,5,8.86791073114606
Penis,M,56,16,9.165233144309836
Penis,M,57,9,9.445514294587852
Penis,M,58,10,9.708840136463264
Penis,M,59,4,9.95875835110029
Penis,M,60,9,10.197279593375407
Penis,M,61,5,10.420869871206873
Penis,M,62,15,10.6234206698094
Penis,M,63,9,10.794569298077112
Penis,M,64,14,10.925922384249066
Penis,M,65,10,11.010163079893946
Penis,M,66,15,11.040356035848667
Penis,M,67,13,11.011228412001334
Penis,M,68,14,10.92042107895562
Penis,M,69,6,10.769639677185571
Penis,M,70,12,10.561041257194736
Penis,M,71,13,10.29480049783511
Penis,M,72,14,9.971254786369874
Penis,M,73,9,9.595427665887327
Penis,M,74,5,9.174043261338843
Penis,M,75,9,8.714645631356332
Penis,M,76,9,8.220908037838026
Penis,M,77,11,7.6962950027918415
Penis,M,78,5,7.145276798118596
Penis,M,79,5,6.574979248811932
Penis,M,80,5,5.9911432348255635
Penis,M,81,6,5.397286531302947
Penis,M,82,3,4.7963737296118865
Penis,M,83,6,4.190869096817887
Penis,M,84,1,3.582796420420311
Vagina,F,10,0,0.08101076191689348
Vagina,F,11,0,0.06561005557646864
Vagina,F,12,1,0.05001049379191345
Vagina,F,13,0,0.03426395899967598
Vagina,F,14,0,0.019739883052300997
Vagina,F,15,0,0.008124890807003864
Vagina,F,16,0,0.0010371412995482936
Vagina,F,17,0,8.063951663289227e-5
Vagina,F,18,0,0.006859715859676901
Vagina,F,19,0,0.022973388197167596
Vagina,F,20,0,0.050000812335552244
Vagina,F,21,0,0.0894796201481672
Vagina,F,22,0,0.1427887452666975
Vagina,F,23,0,0.21118167084777012
Vagina,F,24,0,0.2955460248032277
Vagina,F,25,0,0.39637741687796213
Vagina,F,26,0,0.5133002261719432
Vagina,F,27,1,0.6454126346525186
Vagina,F,28,1,0.7908328806572442
Vagina,F,29,0,0.9482828030919861
Vagina,F,30,1,1.1159970004067457
Vagina,F,31,2,1.2917314851086203
Vagina,F,32,3,1.4724209523544822
Vagina,F,33,2,1.6566305967364343
Vagina,F,34,2,1.8456695107795595
Vagina,F,35,0,2.041712323368686
Vagina,F,36,2,2.2466999011892828
Vagina,F,37,7,2.458859942705841
Vagina,F,38,3,2.6797287887316417
Vagina,F,39,1,2.9132871645080756
Vagina,F,40,1,3.167677740772405
Vagina,F,41,2,3.4471678408979183
Vagina,F,42,5,3.7507311984216165
Vagina,F,43,4,4.0763497619488716
Vagina,F,44,2,4.422312714611511
Vagina,F,45,6,4.786427469344051
Vagina,F,46,4,5.164166396816778
Vagina,F,47,7,5.550319086586939
Vagina,F,48,6,5.939706595961219
Vagina,F,49,10,6.328734181015873
Vagina,F,50,5,6.715599711260032
Vagina,F,51,6,7.103303260217171
Vagina,F,52,8,7.493200444761265
Vagina,F,53,6,7.884882458499599
Vagina,F,54,8,8.277200177933462
Vagina,F,55,9,8.666633016432618
Vagina,F,56,12,9.04817745310117
Vagina,F,57,7,9.420098737405157
Vagina,F,58,11,9.781434273080908
Vagina,F,59,9,10.13105543232019
Vagina,F,60,7,10.468399725544357
Vagina,F,61,11,10.788308499037864
Vagina,F,62,6,11.083496409038766
Vagina,F,63,19,11.341777674748231
Vagina,F,64,12,11.546929837001466
Vagina,F,65,11,11.692368682638916
Vagina,F,66,10,11.774283735041925
Vagina,F,67,15,11.78765661751634
Vagina,F,68,16,11.725094146118039
Vagina,F,69,10,11.587331688821068
Vagina,F,70,9,11.377984763688518
Vagina,F,71,14,11.10163886505617
Vagina,F,72,10,10.759392411565218
Vagina,F,73,12,10.354914672279017
Vagina,F,74,8,9.893155374300724
Vagina,F,75,8,9.379979765186027
Vagina,F,76,7,8.8190222043913291
Vagina,F,77,12,8.209485307034626
Vagina,F,78,10,7.550462296666778
Vagina,F,79,6,6.845648978905873
Vagina,F,80,7,6.103487450334743
Vagina,F,81,5,5.332877404854301
Vagina,F,82,4,4.542902505283626
Vagina,F,83,1,3.743035952725861
Vagina,F,84,2,2.939535651035108
Vulva,F,10,0,-0.33139397435065626
Vulva,F,11,0,-0.2573736781554349
Vulva,F,12,0,-0.1830329819112092
Vulva,F,13,0,-0.10788582012512339
Vulva,F,14,0,-0.03126123129180471
Vulva,F,15,0,0.04756361727054749
Vulva,F,16,0,0.1293634377917099
Vulva,F,17,0,0.21487879138154733
Vulva,F,18,0,0.30468597014198456
Vulva,F,19,0,0.39925772179551555
Vulva,F,20,1,0.4987501611913334
Vulva,F,21,1,0.6031086699756646
Vulva,F,22,0,0.7126622559257165
Vulva,F,23,1,0.8277916071923903
Vulva,F,24,1,0.9486470858201085
Vulva,F,25,1,1.0753660842217798
Vulva,F,26,0,1.2081024169049528
Vulva,F,27,2,1.346842649795122
Vulva,F,28,2,1.4909381617061013
Vulva,F,29,3,1.639940761139469
Vulva,F,30,0,1.7942979775889136
Vulva,F,31,3,1.95457636120642
Vulva,F,32,3,2.1209755839099453
Vulva,F,33,4,2.293979281917225
Vulva,F,34,3,2.4753763700013294
Vulva,F,35,2,2.6675205730889986
Vulva,F,36,1,2.8736156663411556
Vulva,F,37,2,3.0962632143778865
Vulva,F,38,4,3.3364581118518593
Vulva,F,39,3,3.594825874541502
Vulva,F,40,3,3.8718430032812274
Vulva,F,41,7,4.167515654008988
Vulva,F,42,1,4.482359767393589
Vulva,F,43,4,4.816858134522992
Vulva,F,44,4,5.170477486910043
Vulva,F,45,5,5.541426346068755
Vulva,F,46,10,5.926885775012614
Vulva,F,47,5,6.324379964392279
Vulva,F,48,6,6.733381839002514
Vulva,F,49,8,7.152960087508354
Vulva,F,50,7,7.581933028500536
Vulva,F,51,7,8.019259441187849
Vulva,F,52,3,8.463912059414321
Vulva,F,53,11,8.9121036691416
Vulva,F,54,9,9.359037387690952
Vulva,F,55,13,9.79898176935211
Vulva,F,56,11,10.227028587150262
Vulva,F,57,8,10.640354066823628
Vulva,F,58,14,11.036353217131222
Vulva,F,59,12,11.4116515415442
Vulva,F,60,14,11.764088605351038
Vulva,F,61,13,12.093115296868321
Vulva,F,62,6,12.39887090804925
Vulva,F,63,13,12.681955346512451
Vulva,F,64,12,12.939416573105154
Vulva,F,65,17,13.16719203739362
Vulva,F,66,17,13.361632202875445
Vulva,F,67,13,13.521430806116724
Vulva,F,68,14,13.647871990948564
Vulva,F,69,10,13.742570480853422
Vulva,F,70,11,13.80664905703139
Vulva,F,71,16,13.838797484787003
Vulva,F,72,20,13.83549728509222
Vulva,F,73,13,13.79640313343119
Vulva,F,74,17,13.722699142125396
Vulva,F,75,10,13.617916955413502
Vulva,F,76,16,13.486316362654494
Vulva,F,77,12,13.331507938704586
Vulva,F,78,17,13.156955732697453
Vulva,F,79,10,12.966846580010092
Vulva,F,80,10,12.766987310280195
Vulva,F,81,10,12.560920762183443
Vulva,F,82,17,12.350912816489224
Vulva,F,83,9,12.137453816484523
Vulva,F,84,11,11.922447827184532
