Age,Gender,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
  14 Year,Female,20302,20505,21095,19762,20175,20160,19775,20900,20928,23321,22884,22105,24120,24434,25141,25266,25867,25007,25157,25650,24257,26183,23733,19711,20094,20966,19551,20626,20059,20405,19463,19421,18575,19735,19136,19425,21257,22626,21722,21417,19969,20776,21983,23392,25186
  15 Year,Female,20649,21562,20203,19762,20108,19958,20946,21016,23399,22981,22150,24158,24497,25195,25360,26139,25372,25301,25787,24361,26216,23598,19779,20209,21011,19581,20689,20134,20448,19494,19438,18570,19765,19169,19611,21332,22672,21733,21383,19965,20739,21964,23365,25177,25126
  16 Year,Female,21593,20554,20225,19599,19817,21016,20975,23380,22948,22118,24066,24412,25137,25347,26188,25606,25626,25855,24400,26247,23573,19656,20252,20956,19598,20729,20197,20492,19499,19468,18565,19761,19180,19631,21550,22728,21739,21354,19964,20699,21950,23343,25179,25125,26678
  17 Year,Female,20495,20470,20006,19268,20851,21005,23320,22919,22093,24047,24344,25079,25310,26113,25632,25822,26176,24453,26324,23588,19631,20085,20980,19695,20737,20235,20541,19524,19481,18558,19763,19174,19629,21553,23007,21748,21324,19961,20656,21938,23316,25173,25128,26667,26346
  18 Year,Female,20550,20389,19755,20544,21026,23520,22985,22119,24071,24387,25055,25279,26125,25631,25925,26573,24795,26386,23652,19664,20095,20833,19737,20781,20276,20590,19573,19530,18569,19815,19228,19657,21596,23064,22070,21295,19971,20616,21925,23288,25172,25126,26661,26328,26294
  19 Year,Female,20518,20143,21039,20813,23564,23168,22192,24039,24349,25082,25208,26149,25686,25873,26642,25181,26887,23721,19735,20168,20831,19566,20839,20334,20662,19689,19655,18746,20001,19443,19822,21748,23221,22252,21853,19996,20592,21917,23275,25178,25151,26674,26330,26339,26842
  20 Year,Female,20216,21289,21099,23098,23120,22302,24155,24358,25007,25184,26080,25792,25985,26580,25343,27288,24166,19897,20370,20960,19632,20710,20535,20791,19953,19978,19088,20368,19784,20228,22077,23603,22647,22265,20911,20605,21948,23271,25198,25193,26712,26365,26421,26922,27011
  21 Year,Female,21301,21310,23356,22527,22221,24172,24398,24983,25205,26122,25748,25997,26747,25365,27513,24705,20382,20732,21395,20008,20974,20600,21353,20424,20441,19623,20944,20346,20893,22737,24278,23473,23111,21636,21685,22063,23342,25249,25255,26790,26443,26545,27062,27158,27007
  22 Year,Female,21300,23670,22835,21616,24193,24497,25018,25175,26062,25751,25971,26761,25461,27517,25091,21206,21394,21879,20657,21691,21202,21729,21261,21112,20276,21758,21059,21577,23404,25057,24187,23991,22491,22509,23196,23447,25352,25310,26840,26526,26662,27170,27318,27191,26515
  23 Year,Female,23835,23286,22044,23702,24640,25374,25363,26265,25925,26158,26902,25834,27839,25225,21826,22671,23007,21529,22578,22182,22513,21898,22319,21180,22605,21930,22402,24232,25786,25017,24793,23387,23415,24001,24675,25591,25575,27002,26671,26914,27418,27600,27528,26878,26452
  24 Year,Female,23577,22614,24347,24468,25746,25970,26626,26466,26609,27419,26315,28471,25799,22137,23475,24934,22968,23846,23364,23501,22740,23067,22581,23693,22712,23312,25232,26665,25766,25595,24207,24301,24924,25424,26919,25883,27327,26869,27128,27678,27884,27860,27276,26875,25325
  25 Year,Female,23057,25073,25338,25684,26485,27369,27102,27374,28120,27054,29293,26607,22955,23797,25785,25271,25588,24843,24704,23846,23955,23390,25267,23915,24084,26100,27646,26631,26347,24943,25086,25711,26173,27639,27080,27681,27200,27369,27897,28168,28164,27637,27305,25803,24853
